;Curso;Empresa;Data Início;Data Término;Ano Início;Ano Término;Período;Latitude;Longitude;Cidade;Localização;;
209;Engenharia Ambiental;AMBEV S.A.;15/08/2017 00:00;25/04/2018 00:00;2017;2018;1;-2.358.470.117;-466.677.518;São Paulo;3;;
210;Engenharia Ambiental;AMBEV S.A.;13/06/2018 00:00;19/08/2019 00:00;2018;2019;1;-2.358.470.117;-466.677.518;São Paulo;3;;
211;Engenharia Ambiental;AMBEV S.A.;01/07/2019 00:00;12/04/2019 00:00;2019;2019;0;-2.358.470.117;-466.677.518;São Paulo;3;;
212;Engenharia Ambiental;AMBEV S.A.;16/11/2020 00:00;29/07/2022 00:00;2020;2022;2;-2.358.470.117;-466.677.518;São Paulo;3;;
213;Engenharia Ambiental;AMBEV S.A.;01/11/2021 00:00;04/12/2021 00:00;2021;2021;0;-2.358.470.117;-466.677.518;São Paulo;3;;
214;Engenharia Ambiental;AMBEV S.A.;13/04/2021 00:00;23/01/2022 00:00;2021;2022;1;-2.358.470.117;-466.677.518;São Paulo;3;;
215;Engenharia Ambiental;AMBEV S.A.;01/10/2022 00:00;01/10/2023 00:00;2022;2023;1;-2.358.470.117;-466.677.518;São Paulo;3;;
216;Engenharia Física;AMBEV S.A.;07/08/2021 00:00;15/05/2022 00:00;2021;2022;1;-2.358.470.117;-466.677.518;São Paulo;3;;
217;Engenharia Física;AMBEV S.A.;17/08/2021 00:00;17/08/2022 00:00;2021;2022;1;-2.358.470.117;-466.677.518;São Paulo;3;;
218;Engenharia Física;AMBEV S.A.;17/08/2021 00:00;15/08/2022 00:00;2021;2022;1;-2.358.470.117;-466.677.518;São Paulo;3;;
219;Engenharia Física;AMBEV S.A.;15/08/2022 00:00;31/01/2023 00:00;2022;2023;1;-2.358.470.117;-466.677.518;São Paulo;3;;
220;Engenharia de Produção;AMBEV S.A.;08/07/2017 00:00;07/02/2018 00:00;2017;2018;1;-2.358.470.117;-466.677.518;São Paulo;3;;
221;Engenharia de Produção;AMBEV S.A.;01/11/2021 00:00;24/02/2021 00:00;2021;2021;0;-2.358.470.117;-466.677.518;São Paulo;3;;
222;Engenharia de Produção;AMBEV S.A.;01/11/2022 00:00;12/11/2022 00:00;2022;2022;0;-2.358.470.117;-466.677.518;São Paulo;3;;
223;Engenharia de Produção;AMBEV S.A.;12/11/2017 00:00;12/11/2018 00:00;2017;2018;1;-2.358.470.117;-466.677.518;São Paulo;3;;
224;Engenharia de Produção;AMBEV S.A.;02/08/2022 00:00;25/01/2022 00:00;2022;2022;0;-2.358.470.117;-466.677.518;São Paulo;3;;
225;Engenharia de Produção;AMBEV S.A.;08/01/2016 00:00;05/08/2017 00:00;2016;2017;1;-2.358.470.117;-466.677.518;São Paulo;3;;
226;Engenharia de Produção;AMBEV S.A.;08/01/2016 00:00;25/07/2017 00:00;2016;2017;1;-2.358.470.117;-466.677.518;São Paulo;3;;
227;Engenharia de Produção;AMBEV S.A.;01/09/2017 00:00;01/07/2019 00:00;2017;2019;2;-2.358.470.117;-466.677.518;São Paulo;3;;
228;Engenharia de Produção;AMBEV S.A.;08/01/2017 00:00;09/06/2017 00:00;2017;2017;0;-2.358.470.117;-466.677.518;São Paulo;3;;
229;Engenharia de Produção;AMBEV S.A.;01/08/2018 00:00;31/07/2018 00:00;2018;2018;0;-2.358.470.117;-466.677.518;São Paulo;3;;
230;Engenharia de Produção;AMBEV S.A.;15/01/2019 00:00;03/01/2019 00:00;2019;2019;0;-2.358.470.117;-466.677.518;São Paulo;3;;
